"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
52,0,0,"DNA"
53,0,0,"DNA"
54,0,0,"DNA"
55,0,0,"DNA"
56,0,0,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,107028,0.0113153962488466,"LINE"
1,283681,0.0299918051656486,"LINE"
2,749868,0.0792788200688611,"LINE"
3,1127645,0.119218802584656,"LINE"
4,1481447,0.156624059373855,"LINE"
5,1576237,0.166645608972354,"LINE"
6,1253034,0.132475391703827,"LINE"
7,1108382,0.117182246936213,"LINE"
8,906475,0.0958358916794967,"LINE"
9,836172,0.0884031983424012,"LINE"
10,832138,0.0879767089333882,"LINE"
11,876564,0.092673590064973,"LINE"
12,925902,0.0978897860148701,"LINE"
13,1032337,0.109142488109144,"LINE"
14,1044487,0.110427031073822,"LINE"
15,1103969,0.116715688244598,"LINE"
16,1198205,0.126678666912856,"LINE"
17,1196511,0.126499570963707,"LINE"
18,1173362,0.124052173013969,"LINE"
19,1130175,0.119486283547671,"LINE"
20,1150029,0.121585321903285,"LINE"
21,1164256,0.123089452994516,"LINE"
22,1165335,0.123203528867676,"LINE"
23,1153394,0.121941082156465,"LINE"
24,1077059,0.113870663456165,"LINE"
25,1032702,0.109181077259935,"LINE"
26,957232,0.101202109560824,"LINE"
27,861996,0.0911334071917698,"LINE"
28,817930,0.0864745865924717,"LINE"
29,724695,0.0766174373487111,"LINE"
30,630900,0.0667010828325045,"LINE"
31,556273,0.058811240213165,"LINE"
32,482819,0.0510454114948597,"LINE"
33,388894,0.0411153128975495,"LINE"
34,338648,0.0358031198273292,"LINE"
35,278728,0.0294681556756036,"LINE"
36,243434,0.0257367433796923,"LINE"
37,196457,0.0207701610873757,"LINE"
38,160560,0.0169749973998842,"LINE"
39,118037,0.0124793084709151,"LINE"
40,90576,0.00957602992334272,"LINE"
41,89199,0.00943044838734596,"LINE"
42,68500,0.00724207350455945,"LINE"
43,57140,0.00604105226351134,"LINE"
44,43879,0.00463905026724911,"LINE"
45,37819,0.00399836464042239,"LINE"
46,27156,0.00287103281882944,"LINE"
47,22957,0.00242709899918498,"LINE"
48,13639,0.0014419655551633,"LINE"
49,10092,0.00106696358843816,"LINE"
50,7681,0.000812063745817827,"LINE"
51,757,8.00328415029417e-05,"LINE"
52,2599,0.000274775898370073,"LINE"
53,977,0.000103292055678169,"LINE"
54,791,8.36274473300223e-05,"LINE"
55,0,0,"LINE"
56,78,8.24644866212609e-06,"LINE"
57,0,0,"LINE"
58,0,0,"LINE"
59,148,1.56471077178803e-05,"LINE"
60,0,0,"LINE"
61,0,0,"LINE"
62,0,0,"LINE"
63,0,0,"LINE"
64,0,0,"LINE"
65,0,0,"LINE"
66,0,0,"LINE"
67,0,0,"LINE"
68,0,0,"LINE"
69,0,0,"LINE"
70,0,0,"LINE"
0,7781,0.000822636115897476,"LTR"
1,44143,0.00466696132425938,"LTR"
2,128461,0.0135813723280177,"LTR"
3,165390,0.0174856428747312,"LTR"
4,239656,0.0253373192380832,"LTR"
5,308518,0.032617664722331,"LTR"
6,300016,0.0317188018181592,"LTR"
7,330733,0.034966316735525,"LTR"
8,330718,0.034964730880013,"LTR"
9,340096,0.0359562077460825,"LTR"
10,384707,0.0406726477623146,"LTR"
11,507994,0.0537070056624113,"LTR"
12,683926,0.0723071877909391,"LTR"
13,921916,0.0974683713434953,"LTR"
14,1101613,0.116466603205522,"LTR"
15,1199515,0.1268171649609,"LTR"
16,1249268,0.132077236246627,"LTR"
17,1136485,0.120153400099697,"LTR"
18,1037488,0.109687070891947,"LTR"
19,815736,0.0862426287929242,"LTR"
20,632054,0.0668230879832236,"LTR"
21,453547,0.0479506673251449,"LTR"
22,326754,0.0345456421300557,"LTR"
23,261559,0.0276529854566287,"LTR"
24,183806,0.0194326505485993,"LTR"
25,150253,0.0158853032157748,"LTR"
26,132355,0.0139930604189192,"LTR"
27,126133,0.0133352475525635,"LTR"
28,129223,0.0136619337880246,"LTR"
29,120747,0.0127658197000736,"LTR"
30,116205,0.0122856226510559,"LTR"
31,98286,0.0103911596564837,"LTR"
32,97298,0.0102867046400967,"LTR"
33,91270,0.00964940217169549,"LTR"
34,84815,0.00896695568305416,"LTR"
35,63515,0.00671504085608896,"LTR"
36,43631,0.00461283078945158,"LTR"
37,42973,0.00454326459432749,"LTR"
38,26457,0.00279713195197269,"LTR"
39,22796,0.00241007748335675,"LTR"
40,17734,0.00187490410992492,"LTR"
41,11711,0.00123813026002767,"LTR"
42,12087,0.00127788237152715,"LTR"
43,7122,0.00075296419707259,"LTR"
44,5039,0.000532741728313505,"LTR"
45,3205,0.000338844461052745,"LTR"
46,2711,0.00028661695285928,"LTR"
47,570,6.02625094539983e-05,"LTR"
48,639,6.7557444808956e-05,"LTR"
49,312,3.29857946485044e-05,"LTR"
50,1417,0.000149810484028624,"LTR"
51,0,0,"LTR"
52,0,0,"LTR"
53,0,0,"LTR"
54,154,1.62814499226592e-05,"LTR"
55,0,0,"LTR"
56,0,0,"LTR"
57,0,0,"LTR"
58,0,0,"LTR"
59,0,0,"LTR"
60,0,0,"LTR"
61,0,0,"LTR"
62,0,0,"LTR"
63,0,0,"LTR"
64,0,0,"LTR"
65,0,0,"LTR"
66,0,0,"LTR"
67,0,0,"LTR"
68,0,0,"LTR"
69,0,0,"LTR"
70,0,0,"LTR"
0,125643,0.0132834429391732,"SINE"
1,435687,0.0460624420289196,"SINE"
2,974631,0.103041596230982,"SINE"
3,1325004,0.14008432645015,"SINE"
4,1191931,0.126015356414059,"SINE"
5,1044590,0.110437920615004,"SINE"
6,903282,0.0954983159028536,"SINE"
7,797933,0.0843604297476443,"SINE"
8,843196,0.0891458016167958,"SINE"
9,842604,0.0890832131859242,"SINE"
10,825699,0.0872959540239596,"SINE"
11,750901,0.0793880326517839,"SINE"
12,654176,0.0691619076922435,"SINE"
13,540814,0.057176857522552,"SINE"
14,441480,0.0466748994276337,"SINE"
15,342330,0.0361923944936619,"SINE"
16,280474,0.0296527492571943,"SINE"
17,226604,0.0239574134952874,"SINE"
18,185756,0.0196388117651525,"SINE"
19,156270,0.0165214427234672,"SINE"
20,145569,0.015390093401244,"SINE"
21,144655,0.015293461938716,"SINE"
22,123971,0.0131066729114415,"SINE"
23,120414,0.0127306137077083,"SINE"
24,117893,0.0124640842580004,"SINE"
25,113688,0.0120195160961512,"SINE"
26,93116,0.00984456812336581,"SINE"
27,87343,0.00923422519866768,"SINE"
28,80784,0.00854078344514351,"SINE"
29,69256,0.00732200062236159,"SINE"
30,58700,0.00620598123675386,"SINE"
31,51941,0.0054913947430704,"SINE"
32,43437,0.00459232039149706,"SINE"
33,42450,0.00448797109881093,"SINE"
34,35201,0.00372157999173719,"SINE"
35,28925,0.00305805804553842,"SINE"
36,19220,0.00203200952930851,"SINE"
37,16824,0.00177869554220012,"SINE"
38,14215,0.00150286240682208,"SINE"
39,9917,0.00104846194079877,"SINE"
40,6314,0.000667539446829027,"SINE"
41,4397,0.000464867112402159,"SINE"
42,2485,0.000262723396479273,"SINE"
43,2159,0.000228257470019618,"SINE"
44,1172,0.000123908177333484,"SINE"
45,234,2.47393459863783e-05,"SINE"
46,173,1.82902002377925e-05,"SINE"
47,110,1.16296070876137e-05,"SINE"
48,145,1.53299366154908e-05,"SINE"
49,108,1.14181596860207e-05,"SINE"
50,0,0,"SINE"
51,131,1.384980480434e-05,"SINE"
52,0,0,"SINE"
53,0,0,"SINE"
54,0,0,"SINE"
55,0,0,"SINE"
56,0,0,"SINE"
57,0,0,"SINE"
58,0,0,"SINE"
59,0,0,"SINE"
60,0,0,"SINE"
61,0,0,"SINE"
62,0,0,"SINE"
63,0,0,"SINE"
64,0,0,"SINE"
65,0,0,"SINE"
66,0,0,"SINE"
67,0,0,"SINE"
68,0,0,"SINE"
69,0,0,"SINE"
70,0,0,"SINE"
0,646178,0.0683163295332732,"Unknown"
1,965123,0.102036375283809,"Unknown"
2,1961713,0.207399558260582,"Unknown"
3,2977052,0.314744954903587,"Unknown"
4,3561111,0.376493833867083,"Unknown"
5,3902779,0.412616239270818,"Unknown"
6,3649530,0.385841817767808,"Unknown"
7,3268413,0.345548718091353,"Unknown"
8,2894179,0.30598331464748,"Unknown"
9,2666551,0.281917640082577,"Unknown"
10,2495306,0.263812984939682,"Unknown"
11,2452483,0.259285578900474,"Unknown"
12,2384367,0.25208410329702,"Unknown"
13,2293945,0.2425243548236,"Unknown"
14,2163042,0.228684805218238,"Unknown"
15,2127149,0.224890064425549,"Unknown"
16,2071735,0.219031491269613,"Unknown"
17,2074374,0.219310496116015,"Unknown"
18,2143639,0.226633448251683,"Unknown"
19,2130188,0.22521135875227,"Unknown"
20,2063597,0.218171111792531,"Unknown"
21,2035529,0.215203658958575,"Unknown"
22,1926031,0.203627125168761,"Unknown"
23,1816836,0.192082625660289,"Unknown"
24,1680544,0.177673331031334,"Unknown"
25,1542913,0.163122472367012,"Unknown"
26,1310193,0.138518452717653,"Unknown"
27,1185177,0.12530129853888,"Unknown"
28,1035320,0.10945786190862,"Unknown"
29,905245,0.0957058515275171,"Unknown"
30,753186,0.0796296113081039,"Unknown"
31,621246,0.0656804262250152,"Unknown"
32,474548,0.0501709707655719,"Unknown"
33,378852,0.0400536354941512,"Unknown"
34,293008,0.0309778901229774,"Unknown"
35,217180,0.0229610733389813,"Unknown"
36,161273,0.0170503783985521,"Unknown"
37,124089,0.0131191483081354,"Unknown"
38,93409,0.00987554516769918,"Unknown"
39,62068,0.00656205866103644,"Unknown"
40,41504,0.00438795647785745,"Unknown"
41,24827,0.00262480231967442,"Unknown"
42,23374,0.00247118578241712,"Unknown"
43,9370,0.000990631076463095,"Unknown"
44,8842,0.00093480896244255,"Unknown"
45,6024,0.000636879573598046,"Unknown"
46,4464,0.000471950600355524,"Unknown"
47,3392,0.000358614793101688,"Unknown"
48,851,8.99708693778116e-05,"Unknown"
49,655,6.92490240216998e-05,"Unknown"
50,330,3.48888212628411e-05,"Unknown"
51,76,8.03500126053311e-06,"Unknown"
52,184,1.94531609465539e-05,"Unknown"
53,0,0,"Unknown"
54,0,0,"Unknown"
55,100,1.05723700796488e-05,"Unknown"
56,0,0,"Unknown"
57,0,0,"Unknown"
58,0,0,"Unknown"
59,0,0,"Unknown"
60,0,0,"Unknown"
61,0,0,"Unknown"
62,0,0,"Unknown"
63,0,0,"Unknown"
64,0,0,"Unknown"
65,0,0,"Unknown"
66,0,0,"Unknown"
67,0,0,"Unknown"
68,0,0,"Unknown"
69,0,0,"Unknown"
70,0,0,"Unknown"
0,3502,0.000370244400189302,"Other"
1,1884,0.000199183452300584,"Other"
2,3845,0.000406507629562498,"Other"
3,6337,0.000669971091947347,"Other"
4,15522,0.00164104328376309,"Other"
5,9548,0.00100944989520487,"Other"
6,11816,0.00124923124861131,"Other"
7,12585,0.00133053277452381,"Other"
8,5636,0.000595858777689008,"Other"
9,9578,0.00101262160622877,"Other"
10,8725,0.00092243928944936,"Other"
11,8832,0.000933751725434585,"Other"
12,12831,0.00135654080491974,"Other"
13,16042,0.00169601960817727,"Other"
14,20048,0.002119548753568,"Other"
15,30118,0.00318418642058864,"Other"
16,30446,0.00321886379444988,"Other"
17,36544,0.00386356692190687,"Other"
18,38198,0.00403843392302426,"Other"
19,35744,0.00377898796126968,"Other"
20,32536,0.00343982632911454,"Other"
21,29411,0.00310943976412552,"Other"
22,21528,0.0022760198307468,"Other"
23,19311,0.00204163038608099,"Other"
24,14371,0.00151935530414633,"Other"
25,12948,0.00136891047791293,"Other"
26,12130,0.0012824284906614,"Other"
27,8797,0.000930051395906708,"Other"
28,6350,0.000671345500057701,"Other"
29,7004,0.000740488800378604,"Other"
30,4298,0.000454400466023307,"Other"
31,3743,0.000395723812081256,"Other"
32,2094,0.000221385429467847,"Other"
33,3010,0.00031822833939743,"Other"
34,997,0.000105406529694099,"Other"
35,1505,0.000159114169698715,"Other"
36,0,0,"Other"
37,1604,0.000169580816077567,"Other"
38,120,1.26868440955786e-05,"Other"
39,209,2.20962534664661e-05,"Other"
40,0,0,"Other"
41,0,0,"Other"
42,343,3.62632293731955e-05,"Other"
43,0,0,"Other"
44,0,0,"Other"
45,0,0,"Other"
46,0,0,"Other"
47,0,0,"Other"
48,0,0,"Other"
49,0,0,"Other"
50,0,0,"Other"
51,0,0,"Other"
52,0,0,"Other"
53,0,0,"Other"
54,0,0,"Other"
55,0,0,"Other"
56,0,0,"Other"
57,0,0,"Other"
58,0,0,"Other"
59,0,0,"Other"
60,0,0,"Other"
61,0,0,"Other"
62,0,0,"Other"
63,0,0,"Other"
64,0,0,"Other"
65,0,0,"Other"
66,0,0,"Other"
67,0,0,"Other"
68,0,0,"Other"
69,0,0,"Other"
70,0,0,"Other"
