"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,135820,0.014359393042179,"DNA"
1,149155,0.0157692185923002,"DNA"
2,302039,0.0319326808648705,"DNA"
3,523321,0.0553274328245191,"DNA"
4,860556,0.0909811650626228,"DNA"
5,1148064,0.12137757483122,"DNA"
6,947006,0.100120978996479,"DNA"
7,644175,0.0681045649605779,"DNA"
8,436162,0.0461126607867979,"DNA"
9,354784,0.0375090774633813,"DNA"
10,368596,0.0389693332187824,"DNA"
11,400394,0.0423311354567091,"DNA"
12,538143,0.0568944695177246,"DNA"
13,599593,0.0633911909316688,"DNA"
14,628959,0.0664958731292585,"DNA"
15,707883,0.0748400104909205,"DNA"
16,735719,0.0777829354262916,"DNA"
17,804732,0.0850792451893596,"DNA"
18,819674,0.0866589687266608,"DNA"
19,830552,0.087809031143925,"DNA"
20,860623,0.0909882485505762,"DNA"
21,876180,0.0926329921638671,"DNA"
22,905748,0.0957590305490177,"DNA"
23,888498,0.0939352967102783,"DNA"
24,870259,0.0920070021314511,"DNA"
25,876448,0.0926613261156806,"DNA"
26,859725,0.0908933086672609,"DNA"
27,790549,0.083579765940963,"DNA"
28,748387,0.0791222432679815,"DNA"
29,658976,0.0696693814560667,"DNA"
30,580172,0.0613379309385002,"DNA"
31,449656,0.0475392964053458,"DNA"
32,378260,0.0399910470632797,"DNA"
33,304464,0.032189060839302,"DNA"
34,230862,0.0244075850132789,"DNA"
35,172279,0.0182139734495182,"DNA"
36,128186,0.0135522983102987,"DNA"
37,103001,0.0108896469057391,"DNA"
38,82252,0.00869598583791276,"DNA"
39,69714,0.00737042207732639,"DNA"
40,55325,0.00584916374656572,"DNA"
41,35986,0.00380457309686243,"DNA"
42,23268,0.00245997907013269,"DNA"
43,17047,0.00180227192747774,"DNA"
44,9773,0.00103323772788408,"DNA"
45,6055,0.000640157008322737,"DNA"
46,2876,0.0003040613634907,"DNA"
47,2107,0.000222759837578201,"DNA"
48,1770,0.000187130950409784,"DNA"
49,589,6.22712597691316e-05,"DNA"
50,1246,0.000131731731192424,"DNA"
51,403,4.26066514209848e-05,"DNA"
