"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,954460,0.0530513041828784,"DNA"
1,2526362,0.140421598535366,"DNA"
2,4800415,0.266819223821902,"DNA"
3,6358239,0.353407027278713,"DNA"
4,6469482,0.359590194966428,"DNA"
5,5863394,0.325902288873357,"DNA"
6,5238139,0.291149032375582,"DNA"
7,4765792,0.26489478979143,"DNA"
8,4333002,0.240839225454205,"DNA"
9,3818148,0.212222336151592,"DNA"
10,3732291,0.207450186639586,"DNA"
11,3479842,0.193418431836175,"DNA"
12,3385369,0.188167383222227,"DNA"
13,3238568,0.180007811835945,"DNA"
14,3068309,0.170544385397045,"DNA"
15,2999805,0.166736759575382,"DNA"
16,2774287,0.154201897960737,"DNA"
17,2646201,0.147082553674368,"DNA"
18,2399349,0.133361894306608,"DNA"
19,2109614,0.117257689188084,"DNA"
20,1926821,0.107097591284033,"DNA"
21,1767645,0.0982501860553026,"DNA"
22,1551277,0.0862239046150735,"DNA"
23,1414373,0.0786144335551519,"DNA"
24,1259074,0.0699825218057891,"DNA"
25,1142148,0.0634834785846093,"DNA"
26,974820,0.0541829645491205,"DNA"
27,850303,0.0472619943220397,"DNA"
28,758412,0.0421544598075825,"DNA"
29,645869,0.035899034827328,"DNA"
30,558420,0.0310383979232267,"DNA"
31,425962,0.0236760468037919,"DNA"
32,348548,0.0193731806155668,"DNA"
33,282707,0.015713571078546,"DNA"
34,229720,0.0127684194171477,"DNA"
35,172275,0.00957548082486995,"DNA"
36,132509,0.00736518582860364,"DNA"
37,104036,0.00578258437437916,"DNA"
38,80228,0.00445927543530789,"DNA"
39,61499,0.00341827017993718,"DNA"
40,49523,0.00275261376804548,"DNA"
41,33703,0.00187329810036623,"DNA"
42,26509,0.00147343735995633,"DNA"
43,20065,0.00111526351908876,"DNA"
44,13324,0.000740581666002422,"DNA"
45,9843,0.000547098869593353,"DNA"
46,8113,0.000450941087982411,"DNA"
47,4888,0.000271687419950453,"DNA"
48,3032,0.000168526239216402,"DNA"
49,1371,7.62036523633534e-05,"DNA"
50,1572,8.7375741440694e-05,"DNA"
51,938,5.21364156942564e-05,"DNA"
52,589,3.27381117738987e-05,"DNA"
53,517,2.87361694178364e-05,"DNA"
54,244,1.35621379844334e-05,"DNA"
55,392,2.17883528274504e-05,"DNA"
56,339,1.88424785931268e-05,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,255,1.41735458443874e-05,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,24,1.33398078535411e-06,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,6871996,0.381962942542929,"LINE"
1,15665649,0.870736448170908,"LINE"
2,20299644,1.12830562689703,"LINE"
3,17125238,0.951864101525667,"LINE"
4,14684086,0.816178690603636,"LINE"
5,13086670,0.727390263511252,"LINE"
6,12799119,0.711407450644195,"LINE"
7,13356489,0.742387486908062,"LINE"
8,13240247,0.735926462139265,"LINE"
9,12749423,0.708645221097988,"LINE"
10,11270640,0.626450716610142,"LINE"
11,8933332,0.496537218216208,"LINE"
12,7813512,0.434294786422239,"LINE"
13,6601939,0.36695249050333,"LINE"
14,5739136,0.318995714522251,"LINE"
15,5687357,0.316117706560383,"LINE"
16,5769099,0.320661133950233,"LINE"
17,5932507,0.329743764457448,"LINE"
18,5961778,0.331370720772785,"LINE"
19,5820734,0.32353113802739,"LINE"
20,5542128,0.308045510915541,"LINE"
21,5203927,0.28924744276606,"LINE"
22,4892509,0.271938041590502,"LINE"
23,4713249,0.261974316774561,"LINE"
24,4517167,0.251075582593152,"LINE"
25,4671236,0.259639127827266,"LINE"
26,4600240,0.255692990334058,"LINE"
27,4305423,0.239306314784235,"LINE"
28,4080891,0.226826257546855,"LINE"
29,3811738,0.211866052116837,"LINE"
30,3681114,0.204605639362417,"LINE"
31,3538853,0.196698412674697,"LINE"
32,3143854,0.174743367831611,"LINE"
33,2649373,0.147258861468165,"LINE"
