"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
34,2327020,0.12934166529728,"LINE"
35,2128554,0.118310422357859,"LINE"
36,1896137,0.105392096849958,"LINE"
37,1617812,0.0899220884298041,"LINE"
38,1369001,0.0760925428804399,"LINE"
39,1291189,0.071767554844191,"LINE"
40,1080219,0.0600413079156012,"LINE"
41,833757,0.0463423257356035,"LINE"
42,723772,0.0402290808740547,"LINE"
43,505393,0.0280910229605195,"LINE"
44,383964,0.0213416915944877,"LINE"
45,286253,0.0159106667395821,"LINE"
46,209621,0.0116512660919464,"LINE"
47,161758,0.00899091932822124,"LINE"
48,93074,0.00517328865066868,"LINE"
49,70972,0.00394480351242299,"LINE"
50,43700,0.00242895667999894,"LINE"
51,25206,0.00140101331981815,"LINE"
52,17216,0.00095690888336068,"LINE"
53,9228,0.000512915611968654,"LINE"
54,6699,0.000372347386711965,"LINE"
55,3379,0.000187813378071314,"LINE"
56,1467,8.15395755047698e-05,"LINE"
57,1408,7.82602060741076e-05,"LINE"
58,357,1.98429641821424e-05,"LINE"
59,407,2.26220908182967e-05,"LINE"
60,427,2.37337414727585e-05,"LINE"
61,0,0,"LINE"
62,179,9.94927335743272e-06,"LINE"
63,0,0,"LINE"
64,0,0,"LINE"
65,0,0,"LINE"
66,0,0,"LINE"
67,0,0,"LINE"
68,0,0,"LINE"
69,0,0,"LINE"
70,0,0,"LINE"
0,1908806,0.106096271957026,"LTR"
1,3537338,0.196614205137622,"LTR"
2,2868095,0.159415984190425,"LTR"
3,7506090,0.417207493047442,"LTR"
4,6916467,0.384434753355657,"LTR"
5,3013952,0.167523085665816,"LTR"
6,3111459,0.172942771684046,"LTR"
7,3583317,0.199169834409697,"LTR"
8,2001195,0.11123148657278,"LTR"
9,1387747,0.0771344930388669,"LTR"
10,1737860,0.0965946603181454,"LTR"
11,1773301,0.0985645608603843,"LTR"
12,1315453,0.073116209418184,"LTR"
13,1017925,0.0565788496221492,"LTR"
14,976326,0.0542666718434014,"LTR"
15,537788,0.0298916191080839,"LTR"
16,559200,0.0310817522987507,"LTR"
17,447794,0.0248895246582024,"LTR"
18,491447,0.0273158689591633,"LTR"
19,430969,0.0239543485451364,"LTR"
20,396379,0.0220317487382448,"LTR"
21,360298,0.0200262753750631,"LTR"
22,630200,0.0350281121220899,"LTR"
23,304274,0.0169123195617848,"LTR"
24,334424,0.0185881329233859,"LTR"
25,238386,0.013250097645726,"LTR"
26,196759,0.010936363556062,"LTR"
27,168607,0.00937160409484167,"LTR"
28,194353,0.0108026319823303,"LTR"
29,153858,0.00855181731970885,"LTR"
30,183348,0.0101909462097127,"LTR"
31,353035,0.0196225794398953,"LTR"
32,263208,0.0146297672729785,"LTR"
33,308928,0.0171710006690781,"LTR"
34,591782,0.0328927423799344,"LTR"
35,502155,0.0279110467195622,"LTR"
36,210803,0.0117169646456251,"LTR"
37,311590,0.0173189613711869,"LTR"
38,608366,0.033814523102614,"LTR"
39,461006,0.0256238810805398,"LTR"
40,272904,0.0151686955102616,"LTR"
41,177150,0.00984644567189501,"LTR"
42,164983,0.0091701729962532,"LTR"
43,120778,0.0067131471372291,"LTR"
44,76499,0.00425200817078349,"LTR"
45,54677,0.00303908614170027,"LTR"
46,33031,0.00183594663837631,"LTR"
47,24709,0.00137338880105478,"LTR"
48,23148,0.00128662446747404,"LTR"
49,9398,0.000522364642531579,"LTR"
50,5142,0.000285805383262118,"LTR"
51,4437,0.000246619697692341,"LTR"
52,3947,0.000219384256658028,"LTR"
53,684,3.80184523825921e-05,"LTR"
54,245,1.36177205171565e-05,"LTR"
55,846,4.70228226837323e-05,"LTR"
56,0,0,"LTR"
57,0,0,"LTR"
58,0,0,"LTR"
59,0,0,"LTR"
60,0,0,"LTR"
61,0,0,"LTR"
62,0,0,"LTR"
63,0,0,"LTR"
64,0,0,"LTR"
65,0,0,"LTR"
66,0,0,"LTR"
67,0,0,"LTR"
68,0,0,"LTR"
69,0,0,"LTR"
70,0,0,"LTR"
0,922248,0.0512608796388023,"SINE"
1,2191067,0.121785053225978,"SINE"
2,5175498,0.287667286943276,"SINE"
3,5302313,0.294715985830554,"SINE"
4,3682016,0.204655774806933,"SINE"
5,2479162,0.137798102990836,"SINE"
6,1918729,0.106647817429238,"SINE"
7,1960600,0.108975113656886,"SINE"
8,2240013,0.124505595872642,"SINE"
9,2476416,0.137645473355978,"SINE"
10,2500925,0.139007745650488,"SINE"
11,2153757,0.119711268930079,"SINE"
12,1617741,0.0899181420699808,"SINE"
13,1248816,0.0694123561851156,"SINE"
14,1042468,0.0579430117227719,"SINE"
15,970569,0.0539466832025146,"SINE"
16,935369,0.0519901780506619,"SINE"
17,929907,0.0516865862569284,"SINE"
18,905405,0.0503247030401473,"SINE"
19,872956,0.0485211054358159,"SINE"
20,828098,0.0460277841829236,"SINE"
21,757026,0.0420774224172283,"SINE"
22,653508,0.0363236297947997,"SINE"
23,597215,0.0331947222802189,"SINE"
24,502681,0.0279402831317745,"SINE"
25,434340,0.024141717262946,"SINE"
26,368673,0.020491779086619,"SINE"
27,299493,0.0166465794728357,"SINE"
28,252461,0.0140324217938035,"SINE"
29,195828,0.0108846162180968,"SINE"
30,166670,0.00926394072895705,"SINE"
31,132113,0.0073431751456453,"SINE"
32,104856,0.0058281620512121,"SINE"
33,89663,0.00498369663155022,"SINE"
34,64458,0.00358273889426479,"SINE"
35,53812,0.0029910072508948,"SINE"
36,40343,0.00224236611764753,"SINE"
37,32988,0.00183355658946922,"SINE"
38,24407,0.0013566028761724,"SINE"
39,18470,0.00102660937939543,"SINE"
40,15994,0.000888987028373067,"SINE"
41,9517,0.000528978963925627,"SINE"
42,8566,0.00047611997530597,"SINE"
43,6792,0.000377516562255212,"SINE"
44,3940,0.000218995178928966,"SINE"
45,3452,0.000191870902960099,"SINE"
46,2341,0.000130118709104749,"SINE"
47,1466,8.14839929720467e-05,"SINE"
48,979,5.4415299535903e-05,"SINE"
49,551,3.06259755304214e-05,"SINE"
50,487,2.70686934361438e-05,"SINE"
51,298,1.65635947514802e-05,"SINE"
52,453,2.51788873235588e-05,"SINE"
53,263,1.46182061061721e-05,"SINE"
54,0,0,"SINE"
55,0,0,"SINE"
56,154,8.55971003935552e-06,"SINE"
57,0,0,"SINE"
58,0,0,"SINE"
59,0,0,"SINE"
60,0,0,"SINE"
61,0,0,"SINE"
62,0,0,"SINE"
63,0,0,"SINE"
64,0,0,"SINE"
65,0,0,"SINE"
66,0,0,"SINE"
67,0,0,"SINE"
68,0,0,"SINE"
69,0,0,"SINE"
70,0,0,"SINE"
0,3516990,0.195483211761773,"Unknown"
1,9899144,0.550219495310558,"Unknown"
2,15156290,0.842424984885609,"Unknown"
3,15651547,0.869952623294447,"Unknown"
4,14992988,0.833348246126863,"Unknown"
5,14697858,0.816944173244298,"Unknown"
6,14358446,0.798078794647689,"Unknown"
7,13921644,0.773800233189179,"Unknown"
8,13326617,0.740727125490558,"Unknown"
9,12520123,0.695900146344584,"Unknown"
10,11883962,0.660540706744932,"Unknown"
11,11533417,0.641056527811517,"Unknown"
12,10967907,0.609624049731284,"Unknown"
13,10719460,0.595814736223831,"Unknown"
14,10522552,0.584870090870393,"Unknown"
15,10572717,0.587658388624447,"Unknown"
16,10573919,0.58772519882878,"Unknown"
17,10537173,0.585682763081337,"Unknown"
18,10357437,0.57569258097982,"Unknown"
19,10044133,0.558278351147546,"Unknown"
20,9743429,0.541564461227583,"Unknown"
21,9409772,0.523018960106795,"Unknown"
22,9042615,0.502611444139785,"Unknown"
23,8731811,0.485336170639318,"Unknown"
24,8117833,0.451209718363062,"Unknown"
25,7422585,0.412566073652401,"Unknown"
26,6875672,0.382167263933219,"Unknown"
27,6167468,0.342803491928597,"Unknown"
28,5526328,0.307167306898516,"Unknown"
29,4797817,0.266674820401887,"Unknown"
30,4017711,0.22331455312941,"Unknown"
31,3309357,0.18394244374488,"Unknown"
32,2696896,0.149900310170765,"Unknown"
33,2160130,0.120065496411124,"Unknown"
34,1702782,0.0946449362352849,"Unknown"
35,1340108,0.0744865967624718,"Unknown"
36,1015513,0.0564447845532211,"Unknown"
37,787486,0.0437704663639735,"Unknown"
38,579744,0.0322236398510138,"Unknown"
39,404352,0.022474908271646,"Unknown"
40,309495,0.0172025159651321,"Unknown"
41,212424,0.0118070639311692,"Unknown"
42,146380,0.00813617114000559,"Unknown"
43,103355,0.00574473266959474,"Unknown"
44,68114,0.0037859486339004,"Unknown"
45,48654,0.00270431254710911,"Unknown"
46,32629,0.00181360246022163,"Unknown"
47,22813,0.0012680043190118,"Unknown"
48,11249,0.000625247910602015,"Unknown"
49,8130,0.000451885991038704,"Unknown"
50,6086,0.000338275294152712,"Unknown"
51,4330,0.00024067236669097,"Unknown"
52,2369,0.000131675020020995,"Unknown"
53,1236,6.87000104457365e-05,"Unknown"
54,1260,7.00339912310906e-05,"Unknown"
55,494,2.74577711652054e-05,"Unknown"
56,118,6.55873886132436e-06,"Unknown"
57,106,5.89174846864731e-06,"Unknown"
58,118,6.55873886132436e-06,"Unknown"
59,144,8.00388471212465e-06,"Unknown"
60,144,8.00388471212465e-06,"Unknown"
61,0,0,"Unknown"
62,0,0,"Unknown"
63,0,0,"Unknown"
64,0,0,"Unknown"
65,0,0,"Unknown"
66,0,0,"Unknown"
67,0,0,"Unknown"
68,0,0,"Unknown"
69,0,0,"Unknown"
70,0,0,"Unknown"
0,520695,0.0289415468762482,"Other"
1,4021012,0.223498031069929,"Other"
2,3769352,0.209510130884836,"Other"
3,3578843,0.198921158158294,"Other"
4,2124954,0.118110325240056,"Other"
5,1463719,0.0813572092149054,"Other"
6,1221947,0.067918909113379,"Other"
7,1265003,0.0703120706423043,"Other"
8,1248133,0.0693743933152658,"Other"
9,859011,0.0477460070169924,"Other"
10,574730,0.0319449490319403,"Other"
11,428611,0.0238232849329754,"Other"
12,370590,0.0205983308018491,"Other"
13,301926,0.016781811774951,"Other"
14,246285,0.0136891440717057,"Other"
15,235665,0.0130988575741865,"Other"
16,212659,0.0118201258263591,"Other"
17,212245,0.0117971146578118,"Other"
18,199248,0.0110747084800098,"Other"
19,212537,0.0118133447573669,"Other"
20,217187,0.0120718035345293,"Other"
21,206057,0.0114531699453213,"Other"
22,194520,0.010811914265295,"Other"
23,150524,0.00836650515561007,"Other"
24,131786,0.00732499965744485,"Other"
25,105712,0.00587574069922306,"Other"
26,85239,0.00473779950678328,"Other"
27,70830,0.00393691079277631,"Other"
28,59141,0.00328720656777614,"Other"
29,47474,0.00263872515849587,"Other"
30,43711,0.00242956808785889,"Other"
31,36064,0.00200452846012544,"Other"
32,27933,0.00155258688655401,"Other"
33,23623,0.0013130261705175,"Other"
34,15787,0.000877481444099387,"Other"
35,11292,0.000627637959509108,"Other"
36,8475,0.000471061964828169,"Other"
37,3589,0.000199485709943162,"Other"
38,3805,0.000211491537011349,"Other"
39,2501,0.000139011914340443,"Other"
40,1333,7.40915161198761e-05,"Other"
41,1297,7.20905449418449e-05,"Other"
42,271,1.50628663679568e-05,"Other"
43,42,2.33446637436969e-06,"Other"
44,0,0,"Other"
45,0,0,"Other"
46,0,0,"Other"
47,0,0,"Other"
48,180,1.00048558901558e-05,"Other"
49,0,0,"Other"
50,0,0,"Other"
51,0,0,"Other"
52,0,0,"Other"
53,0,0,"Other"
54,0,0,"Other"
55,0,0,"Other"
56,0,0,"Other"
57,0,0,"Other"
58,0,0,"Other"
59,0,0,"Other"
60,0,0,"Other"
61,0,0,"Other"
62,0,0,"Other"
63,0,0,"Other"
64,0,0,"Other"
65,0,0,"Other"
66,0,0,"Other"
67,0,0,"Other"
68,0,0,"Other"
69,0,0,"Other"
70,0,0,"Other"
