"clade","model","num.models","estimate","importance","lower","upper"
"All","age.ltr:prop.ltr",3825,-1.71079780983675,0.669671826572115,-2.96619006468734,-0.455405554986168
"All","age.sine:prop.sine",3825,1.55700152847867,0.578985856995122,0.276761495037998,2.83724156191934
"Mammalia","age.sine:prop.sine",2467,2.24905768530917,0.828203958993148,0.681129726661016,3.81698564395733
"Actinopterygii","prop.others",1858,-0.318026033911559,0.881524786355652,-0.596506044814854,-0.0395460230082635
"Sauropsida","age.ltr",1045,0.283404015298824,0.664326279414234,0.0244293382087879,0.542378692388861
"Sauropsida","age.unknown",1045,-0.291184941115747,0.586679351581362,-0.579952123534434,-0.00241775869706073
