species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Canis lupus familiaris,X,127.069619,1401,11.02545212,2396.858295
Canis lupus familiaris,1,123.313939,1808,14.66176504,2396.858295
Canis lupus familiaris,3,92.870237,890,9.583264012,2396.858295
Canis lupus familiaris,5,89.573405,1399,15.61847515,2396.858295
Canis lupus familiaris,4,89.007665,906,10.17889864,2396.858295
Canis lupus familiaris,2,86.187811,1122,13.0180821,2396.858295
Canis lupus familiaris,7,81.039452,944,11.64864738,2396.858295
Canis lupus familiaris,6,78.268176,1270,16.22626289,2396.858295
Canis lupus familiaris,11,75.541347,837,11.08002482,2396.858295
Canis lupus familiaris,8,75.260524,1101,14.62918329,2396.858295
Canis lupus familiaris,12,73.497294,878,11.94601804,2396.858295
Canis lupus familiaris,10,70.361,951,13.51601029,2396.858295
Canis lupus familiaris,17,65.471548,890,13.59369111,2396.858295
Canis lupus familiaris,15,65.2006,808,12.392524,2396.858295
Canis lupus familiaris,13,64.037277,622,9.713092579,2396.858295
Canis lupus familiaris,22,62.106979,467,7.519283783,2396.858295
Canis lupus familiaris,16,62.021213,685,11.04460824,2396.858295
Canis lupus familiaris,9,62.002293,1434,23.12817689,2396.858295
Canis lupus familiaris,14,61.043064,600,9.829126533,2396.858295
Canis lupus familiaris,20,58.896461,1229,20.86712816,2396.858295
Canis lupus familiaris,18,56.883407,1017,17.87867594,2396.858295
Canis lupus familiaris,19,55.265241,413,7.473051642,2396.858295
Canis lupus familiaris,23,53.282923,549,10.30348879,2396.858295
Canis lupus familiaris,21,52.140716,833,15.97599849,2396.858295
Canis lupus familiaris,25,51.941001,652,12.55270379,2396.858295
Canis lupus familiaris,24,48.838997,735,15.04944911,2396.858295
Canis lupus familiaris,27,46.248802,758,16.38961372,2396.858295
Canis lupus familiaris,34,42.263871,403,9.535331016,2396.858295
Canis lupus familiaris,29,42.049852,361,8.585048052,2396.858295
Canis lupus familiaris,28,41.862212,513,12.25448861,2396.858295
Canis lupus familiaris,26,40.674351,632,15.53804755,2396.858295
Canis lupus familiaris,30,40.414903,599,14.82126531,2396.858295
Canis lupus familiaris,31,39.518933,371,9.387905286,2396.858295
Canis lupus familiaris,32,39.023732,384,9.840165979,2396.858295
Canis lupus familiaris,33,31.649084,382,12.06985959,2396.858295
Canis lupus familiaris,36,31.065185,337,10.84815687,2396.858295
Canis lupus familiaris,37,30.932408,338,10.92705101,2396.858295
Canis lupus familiaris,35,26.942268,355,13.17632205,2396.858295
Canis lupus familiaris,38,24.102048,306,12.69601654,2396.858295
Canis lupus familiaris,Y,3.937623,2,0.507920641,2396.858295
