species,name,size.Mbp,genecount,genedens,asmblysize.Mbp
Leptobrachium leishanense,1,565.846077,4247,7.505574701,3549.060464
Leptobrachium leishanense,2,469.131026,3613,7.701473149,3549.060464
Leptobrachium leishanense,3,404.66643,3288,8.125210683,3549.060464
Leptobrachium leishanense,4,394.693044,2797,7.08651962,3549.060464
Leptobrachium leishanense,5,344.666308,2284,6.626699352,3549.060464
Leptobrachium leishanense,6,185.873613,2103,11.31413957,3549.060464
Leptobrachium leishanense,7,168.375387,1684,10.00146179,3549.060464
Leptobrachium leishanense,8,166.878437,1539,9.222281966,3549.060464
Leptobrachium leishanense,9,153.42092,1633,10.64392001,3549.060464
Leptobrachium leishanense,10,132.28394,1260,9.524965767,3549.060464
Leptobrachium leishanense,11,123.078012,1280,10.39990799,3549.060464
Leptobrachium leishanense,12,111.266443,1297,11.65670408,3549.060464
Leptobrachium leishanense,13,92.480454,1073,11.60245169,3549.060464
