"Assembly.Accession"	"Assembly.Name"	"Organism.Name"	"Assembly.Release.Date"
"GCA_965117505.1"	"LUZE-A-14.22042.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_946412225.1"	"IP-Mdc-14.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_965117645.1"	"BROU-A-2.22026.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_024498475.1"	"ASM2449847v1"	"Arabidopsis thaliana"	"2022-08-01"
"GCA_965117675.1"	"BOULO-A-1.22023.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_965117595.1"	"MONF-A-14.22046.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_965117715.1"	"GAIL-B-9.22034.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_946499705.1"	"Col-0.6909.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2022-08-27"
"GCA_946405905.1"	"MONTM-B-16.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_946411425.1"	"IP-Hom-0.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_024498435.1"	"ASM2449843v1"	"Arabidopsis thaliana"	"2022-08-01"
"GCA_946407145.1"	"BARC-A-17.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_946402385.1"	"AUZE-A-5.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_946408575.1"	"CAMA-C-9.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_949796475.1"	"9883"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_946410165.1"	"BARC-A-12.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_949796605.1"	"9806"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_965117635.1"	"BELL-A-7.22022.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_902825305.1"	"AT6909.Col-0.PacBio"	"Arabidopsis thaliana"	"2020-05-07"
"GCA_903064275.1"	"AT7213.Ler-0.PacBio"	"Arabidopsis thaliana"	"2020-06-28"
"GCA_965117655.1"	"NAUV-B-14.22051.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_946411805.1"	"IP-Mos-9.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2023-02-11"
"GCA_949796655.1"	"9744"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_024498455.1"	"ASM2449845v1"	"Arabidopsis thaliana"	"2022-08-01"
"GCA_949796485.1"	"9900"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_024498555.1"	"ASM2449855v1"	"Arabidopsis thaliana"	"2022-08-01"
"GCA_965117525.1"	"NAUV-B-7.22052.PacbioHiFiAssembly"	"Arabidopsis thaliana"	"2025-01-31"
"GCA_024498495.1"	"ASM2449849v1"	"Arabidopsis thaliana"	"2022-08-01"
"GCA_949796635.1"	"8285"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_949796715.1"	"9830"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_949796375.1"	"9336"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_949796755.1"	"9847"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_903064325.1"	"AT7186.Kn-0.PacBio"	"Arabidopsis thaliana"	"2020-06-28"
"GCA_949796705.1"	"9503"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_949796415.1"	"9762"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_949796525.1"	"6923"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_949796665.1"	"9879"	"Arabidopsis thaliana"	"2023-04-11"
"GCA_024498515.1"	"ASM2449851v1"	"Arabidopsis thaliana"	"2022-08-01"
"GCA_036926965.1"	"ASM3692696v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927435.1"	"ASM3692743v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927085.1"	"ASM3692708v1"	"Arabidopsis thaliana"	"2024-02-29"
